Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
117,1,41.4712,0.02875,37.787,38.698,39.229,39.51,39.943,40.235,40.667,41.471,42.275,42.707,42.999,43.432,43.714,44.245,45.156
118,1,41.5054,0.02873,37.82,38.731,39.263,39.544,39.977,40.27,40.701,41.505,42.31,42.741,43.034,43.467,43.748,44.279,45.19
119,1,41.5394,0.02872,37.853,38.764,39.296,39.577,40.01,40.303,40.735,41.539,42.344,42.776,43.068,43.502,43.783,44.315,45.226
120,1,41.5731,0.02871,37.885,38.796,39.328,39.61,40.043,40.336,40.768,41.573,42.378,42.81,43.103,43.536,43.818,44.35,45.261
121,1,41.6067,0.02869,37.918,38.83,39.362,39.643,40.077,40.37,40.802,41.607,42.412,42.844,43.136,43.57,43.852,44.384,45.295
122,1,41.6401,0.02868,37.95,38.862,39.394,39.676,40.11,40.402,40.835,41.64,42.446,42.878,43.171,43.604,43.886,44.418,45.331
123,1,41.6732,0.02867,37.981,38.894,39.426,39.708,40.142,40.435,40.867,41.673,42.479,42.912,43.204,43.638,43.92,44.453,45.365
124,1,41.7062,0.02865,38.014,38.926,39.459,39.741,40.175,40.468,40.9,41.706,42.512,42.945,43.238,43.672,43.954,44.486,45.399
125,1,41.7389,0.02864,38.045,38.958,39.491,39.773,40.207,40.5,40.933,41.739,42.545,42.978,43.271,43.705,43.987,44.52,45.433
126,1,41.7715,0.02863,38.076,38.989,39.522,39.804,40.239,40.532,40.965,41.772,42.578,43.011,43.304,43.739,44.021,44.554,45.467
127,1,41.8038,0.02862,38.107,39.02,39.554,39.836,40.271,40.564,40.997,41.804,42.611,43.044,43.337,43.772,44.054,44.587,45.501
128,1,41.836,0.02861,38.137,39.052,39.585,39.867,40.302,40.595,41.029,41.836,42.643,43.077,43.37,43.805,44.087,44.62,45.535
129,1,41.868,0.02859,38.169,39.083,39.617,39.899,40.334,40.627,41.061,41.868,42.675,43.109,43.402,43.837,44.119,44.653,45.567
130,1,41.8997,0.02858,38.199,39.114,39.647,39.93,40.365,40.659,41.092,41.9,42.707,43.141,43.434,43.869,44.152,44.685,45.6
131,1,41.9313,0.02857,38.229,39.144,39.678,39.961,40.396,40.69,41.123,41.931,42.739,43.173,43.467,43.902,44.184,44.718,45.633
132,1,41.9627,0.02856,38.259,39.175,39.709,39.991,40.427,40.721,41.154,41.963,42.771,43.205,43.499,43.934,44.217,44.751,45.666
133,1,41.9939,0.02855,38.289,39.205,39.739,40.022,40.457,40.751,41.185,41.994,42.803,43.237,43.53,43.966,44.249,44.783,45.699
134,1,42.0249,0.02854,38.319,39.235,39.769,40.052,40.488,40.782,41.216,42.025,42.834,43.268,43.562,43.998,44.281,44.815,45.731
135,1,42.0557,0.02853,38.348,39.264,39.799,40.082,40.518,40.812,41.246,42.056,42.865,43.299,43.593,44.029,44.312,44.847,45.764
136,1,42.0864,0.02852,38.377,39.294,39.829,40.112,40.548,40.842,41.277,42.086,42.896,43.33,43.625,44.061,44.344,44.879,45.796
137,1,42.1168,0.02851,38.406,39.323,39.858,40.142,40.578,40.872,41.307,42.117,42.927,43.361,43.656,44.092,44.375,44.91,45.827
138,1,42.1471,0.0285,38.435,39.353,39.888,40.171,40.608,40.902,41.337,42.147,42.957,43.392,43.686,44.123,44.406,44.941,45.859
139,1,42.1772,0.02849,38.464,39.382,39.917,40.201,40.637,40.932,41.367,42.177,42.988,43.423,43.717,44.154,44.437,44.973,45.891
140,1,42.2071,0.02848,38.492,39.411,39.946,40.23,40.667,40.961,41.396,42.207,43.018,43.453,43.748,44.184,44.468,45.004,45.922
141,1,42.2368,0.02847,38.521,39.439,39.975,40.259,40.696,40.991,41.426,42.237,43.048,43.483,43.778,44.215,44.498,45.034,45.953
142,1,42.2664,0.02846,38.549,39.468,40.004,40.288,40.725,41.02,41.455,42.266,43.078,43.513,43.808,44.245,44.529,45.065,45.984
143,1,42.2957,0.02845,38.577,39.496,40.033,40.316,40.754,41.049,41.484,42.296,43.107,43.543,43.838,44.275,44.559,45.095,46.014
144,1,42.3249,0.02844,38.605,39.525,40.061,40.345,40.782,41.077,41.513,42.325,43.137,43.572,43.868,44.305,44.589,45.125,46.045
145,1,42.354,0.02843,38.633,39.553,40.089,40.373,40.811,41.106,41.542,42.354,43.166,43.602,43.897,44.335,44.619,45.155,46.075
146,1,42.3828,0.02842,38.661,39.581,40.117,40.402,40.839,41.134,41.57,42.383,43.195,43.631,43.926,44.364,44.648,45.185,46.105
